CN100000	一种服务器备用电源及服务器电源
CN100531	一种金刚线润滑剂及其制备方法、应用
CN100532	供电保护电路及具有供电保护电路的电子装置
CN100533	一种三元混合绝缘油及其制备方法
CN100534	功耗模式的控制方法及终端设备
CN100535	心电信号分析方法及装置、信号记录仪和三维标测系统
CN100536	升温装置及升温方法
CN100537	一种柔性可穿戴多生理信号检测装置
CN100538	心电波形编辑显示方法、装置和计算机设备
CN100539	一种用于DHT结构变速箱的润滑油组合物及其应用
CN100540	一种基于栅-源低耦合结构的超宽带低噪声放大器
CN100541	一种电动汽车三合一电桥油的制备方法
CN100542	低噪声大带宽信号处理装置
CN100543	一种适用于电动摩托车轮毂油冷电机的液体介质组合物及其制备方法
CN100544	一种可调增益低噪声放大器和接收机
CN100545	云计算数据安全运维系统
CN100546	一种降低天然酯绝缘油倾点的处理方法
CN100547	一种音频功率放大器及其增益控制电路和控制方法
CN100548	一种宽带、高干扰消除能力的射频低噪声放大器
CN100549	一种基于十二导联心电数据二维化的多输入残差神经网络的ECG信号分类方法
CN100550	汽车齿轮用润滑油组合物
CN100551	具有包络检测功能的低噪声放大器
CN100552	萘二酸酯类化合物及其制备方法和作为润滑油的应用
CN100553	一种用于监控摄像机故障智能分析设备
CN100554	基于电源安装行程控制服务器上电的方法、装置及介质
CN100555	一种视频服务器的磁盘的监控方法及系统
CN100556	一种工程项目综合管理系统
CN100557	一种烷基萘高温导热油基础油及其制备方法和应用
CN100558	一种基于衰减器的增益可变低噪声放大器
CN100559	一种多核SOC复位的负载均衡电路及系统
CN100560	一种低静态噪声固态发射机及降低静态噪声的方法
CN100561	一种基于深度学习的心电分类方法
CN100562	一种多核SOC调试的负载均衡电路及系统
CN100563	防锈油组合物及其制备方法
CN100564	用于运算放大器的限幅电路
CN100565	一种基于心拍差分编码的心电信号人工智能处理电路
CN100566	提高心电图有效测量的方法及其心电测量装置
CN100567	冷冻机用组合物
CN100568	更新韧体不需断电的服务器及主板模块
CN100569	一种高动态范围的宽频对数检波器
CN100570	心电图分析方法、装置、电子设备和存储介质
CN100571	用于心电监测的人工智能实时分析方法和系统
CN100572	一种超低温长寿命液压油组合物
CN100573	一种服务器的电源控制方法、系统及装置
CN100574	心电异常检测网络训练方法、心电异常预警方法及装置
CN100575	基于Transformer的房颤识别方法及装置
CN100576	可调带内噪声消除环路电路
CN100577	一种超级电容循环寿命预测方法、系统、装置及介质
CN100578	一种电源电压调整方法、系统、存储介质及设备
CN100579	一种存储系统
CN100580	一种解决电源风扇抗负风压的服务器
CN100581	一种定宽机润滑脂及其制备方法
CN100582	基于β-二酮与纤维素纳米晶的超滑组合物及超滑材料
CN100583	心电信号分类模型的训练方法、心电信号分类方法及装置
CN100584	一种宽带谐波抑制放大器
CN100585	一种防止服务器过流掉电的方法及系统
CN100586	一种两电极心电图导联智能定位系统
CN100587	基于生成对抗网络和策略梯度的心电信号去噪方法
CN100588	电感器电路及无线通信装置
CN100589	一种酯类合成油的制备方法及其精制方法
CN100590	心电信号检测方法、终端和计算机可读存储介质
CN100591	一种心电信号质量辨识方法及其心电分析方法
CN100592	信号放大器
CN100593	反应性下垂限制器
CN100594	低噪声跨阻放大器
CN100595	一种基于导联注意力机制的多类心律失常检测方法
CN100596	信号处理方法、信号处理装置、医学设备、存储介质
CN100597	一种用于磁悬浮电机的开关功率放大器
CN100598	一种α-烯烃制备合成润滑油的吡啶亚胺钯配合物及其制备方法和应用
CN100599	一种心梗急救喂药机器人及其工作方法
CN100600	酯类化合物及其制备方法、用途
CN100601	功率放大电路
CN100602	一种高温自动断电的台式计算机电源
CN100603	一种服务器防烧板系统及工作方法
CN100604	安全关机方法、装置、力矩限制器及工程机械
CN100605	一种覆盖基频的超宽带射频放大器
CN100606	一种提高文冠果油基润滑油运动粘度的方法
CN100607	一种共聚物组合物的制造方法、润滑油复合添加剂及润滑油组合物
CN100608	基于多导联心电信号的分类方法、装置、设备及介质
CN100609	一种服务器系统及其供电均衡方法以及电源供应器
CN100610	低噪声放大器电路及无线通信系统
CN100611	一种用于双路以太网供电系统中的信号放大电路
CN100612	基于因果分析的心电图ST段异常判别系统
CN100613	一种基于心电信号智能判断过度通气的多功能监护装置
CN100614	可用作润滑剂添加剂的氢化聚丁二烯
CN100615	一种基于多生理参数的脑力负荷预测方法和系统
CN100616	一种长里程柴机油及其制备方法
CN100617	一种高性能毫米波低噪声的复合式放大器
CN100618	一种测定cfPWV参数的临床验证方法及其应用系统
CN100619	多频低噪声放大器
CN100620	一种可重构收发复用放大器
CN100621	一种基于注意力转换机制的室上性早搏智能分析方法
CN100622	一种基于心肺信息的生理状态监测方法和监测仪
CN100623	放大器及控制方法、缓冲器、源极驱动器、显示装置
CN100624	单片机的升级电路和具有该升级电路的电子设备
CN100625	多功能传动系用油组合物、多功能传动系用油及其制备方法和应用
CN100626	一种用于位移反馈系统的四象限探测器信号调理电路
CN100627	一种雷达有源标定器
CN100628	一种螺杆式空压机油组合物及空压机油
CN100629	一种信号处理方法、装置、电子设备和存储介质
CN100630	心律失常的检测方法、装置、电子设备及计算机存储介质
CN100631	基于机器学习的心电数据分类方法及装置
CN100632	一种基于相关双采样的伪差分结构微弱电流积分电路
CN100633	低粘度润滑油组合物
CN100634	一种高粘度酯类基础油设计及其制备方法
CN100635	一种电能表掉电时信息快速存储保护电源电路
CN100636	基于脉冲神经网络的心电信号分类方法
CN100637	一种星载固态功率放大器抗微放电的方法及匹配电路
CN100638	一种ADS-B系统接收链路及其实现方法
CN100639	一种可调谐的宽带低噪声放大器
CN100640	一种心脏监视器数据采集系统
CN100641	备份电源管理方法、装置、服务器、设备和存储介质
CN100642	一种基于非线性动力学特征的心电向量图分类方法
CN100643	新型反馈控制器的噪声干扰水平的在线判断方法及系统
CN100644	具有时域特性的一维特征信号处理方法、装置以及系统
CN100645	一种用于谐波减速器的润滑脂及其制备方法
CN100646	具有改进的低温性能的多官能支化聚合物
CN100647	烃制冷剂用冷冻机油组合物及其制备方法
CN100648	一种用于生物电检测的低噪声放大器
CN100649	一种基于心电单极导联V1、V5R推衍导联V3R、V4R的方法及设备
CN100650	基于多路心音的心脏杂音类型的识别方法
CN100651	集成电路、存储器装置及管理一位线电压产生电路的方法
CN100652	一种宽带低噪声放大器和电子设备
CN100653	一种掉电信息传输方法、主控板、子卡、设备及存储介质
CN100654	为负载供电的电路及电力分配单元
CN100655	心电特征检测装置和方法以及心电特征检测系统
CN100656	一种双极化高功率收发多功能芯片
CN100657	基于分数阶傅里叶变换和信息熵的心电信号特征提取方法
CN100658	高线性度差分双反馈低噪声放大器
CN100659	备电系统和固态硬盘
CN100660	一种信号放大滤波调理卡
CN100661	一种纳米二氧化钛改性变压器油及其制备方法
CN100662	一种基于通道注意力分组残差网络的12导联心电信号分类方法
CN100663	基于分组卷积神经网络的心电信号识别装置
CN100664	整机柜服务器中子节点的异常断电保护系统、方法及设备
CN100665	一种用于检测生理状况的事件驱动脉冲神经网络系统
CN100666	一种基于联合神经网络的心电信号检测装置及分析方法
CN100667	一种实际微分器噪声功率增益自动跟踪系统及方法
CN100668	具有提高油膜强度的润滑剂及其制备方法
CN100669	基于深度自编码器的QRS波群形态识别方法和装置
CN100670	5G频段的射频功率放大器控制电路、射频电路
CN100671	一种主板防护系统和方法
CN100672	一种延长服务器掉电的系统和服务器
CN100673	一种高温高原山地车辆轮毂轴承润滑脂及其制备方法
CN100674	一种实时时钟供电电路和服务器
CN100675	一种排挡油及其制备方法
CN100676	一种温敏性复合微凝胶水基润滑剂的制备方法
CN100677	一种电容耦合斩波放大器
CN100678	一种自动调整电压调整器的系统、方法及介质
CN100679	一种基于核的有界判别分析的心电身份识别方法及系统
CN100680	一种基于GaN功率放大器的功率放大电路
CN100681	一种齿轮用润滑油组合物及其制备方法
CN100682	一种基于人工智能监督学习的实验室胸痛数据检查辅助识别方法
CN100683	一种心电图的异常检测方法、装置、设备和存储介质
CN100684	一种动态心电图心搏模板生成方法及系统
CN100685	一种铝合金带轧制油用退火清涤挥发助剂生产制备方法
CN100686	一种心电数据标注的推荐分发方法及装置
CN100687	一种基于单导联心电信号的模型构建方法及性别识别方法
CN100688	模拟前端电路、芯片及电子设备
CN100689	电池备份单元测试方法及相关设备
CN100690	心电图心搏分类方法、装置、电子设备和介质
CN100691	带高增益反馈环路的宽带低噪声放大系统及其设计方法
CN100692	一种信号收发前端电路
CN100693	基于持续深度学习的ECG数据分类方法
CN100694	一种基于1DCNN+InceptionNet+GRU融合网络的心率识别方法
CN100695	多导联动态心搏实时分类方法、装置、设备及存储介质
CN100696	备用电源系统
CN100697	一种基于MutiFacolLoss-Densenet的心电信号分类方法
CN100698	服务器机柜
CN100699	隔离工作液及其制备方法
CN100700	一种基于超轻量级卷积神经网络的ECG信号分类方法
CN100701	一种心电信号智能分析方法及系统、智能心电辅助系统
CN100702	一种可除颤心律识别装置
CN100703	车用油泵磨合油及其制备方法
CN100704	一种基于深度神经网络的可穿戴心电图实时诊断系统
CN100705	一种功能润滑油及其制备方法
CN100706	润滑油添加剂
CN100707	数据储存装置的开发系统以及产品化方法
CN100708	一种心电信号的检测方法、装置、终端以及存储介质
CN100709	一种镓基液态金属高温润滑剂及其制备方法
CN100710	一种低噪声放大器的双路噪声抵消电路
CN100711	一种降低PM和PN值的发动机油组合物、发动机油及其制备方法
CN100712	一种三通道放大滤波多功能芯片
CN100713	一种应对硬盘的电源发生抖动的方法和设备
CN100714	宽带SiGe BiCMOS低噪声放大器
CN100715	基于多模态的癫痫发病预警方法及智能手环装置
CN100716	高粘指、耐高温性好的高支化度硅油、制备方法及应用
CN100717	一种E波段带有矢量调制器的多通道接收机
CN100718	一种存储阵列的供电方法、装置及服务器
CN100719	一种跨导放大电路及混频器
CN100720	一种超宽带延时放大收发多功能芯片
CN100721	一种环保型节能柴油机油及其制备方法
CN100722	一种心率检测方法及电子设备
CN100723	基于毫米波雷达的非接触心电图监测方法
CN100724	一种动态心电图中早搏的识别方法
CN100725	润滑脂组合物以及用其涂覆的滑动构件
CN100726	风扇异常处理方法、装置、电子设备及存储介质
CN100727	一种服务器主板防烧系统及方法
CN100728	具有光致变粘度的溶液及调控流体粘度的方法
CN100729	射频低噪声放大器电路及射频芯片
CN100730	一种服务器及其供电保护系统
CN100731	一种实现IPMI功率传感器自动阈值配置功能的方法和装置
CN100732	一种基于U-Net网络的心拍分类方法、装置、设备及存储介质
CN100733	一种基于深度神经网络的心肌梗死心电图的筛查方法
CN100734	基于平滑分解的肌电干扰消除方法、装置、介质及设备
CN100735	一种雪崩光电探测器的放大设计电路
CN100736	一种心电信号的快速识别与处理方法及系统
CN100737	一种环保可降解的铝及其合金拉拔工艺润滑剂及制备方法
CN100738	掉电保护装置及终端
CN100739	一种医院基于心电图的健康预警系统
CN100740	低噪声差分放大器电路以及放大方法
CN100741	一种报警切换方法
CN100742	一种用于车载设备的断电保护电路、装置及系统
CN100743	增强发动机油的磨损保护的分散剂粘度指数改进剂
CN100744	抗工频干扰信号采样方法、电路及双电极心率传感器
CN100745	基于神经网络算法的心电图导联数据模拟重建方法
CN100746	一种基于区块链的污水处理监控系统
CN100747	心电信号滤波方法、装置、计算机设备和存储介质
CN100748	一种心电采集系统、装置及计算机可读存储介质
CN100749	环保润滑脂及其制备方法
CN100750	一种低噪声的分布式放大器
CN100751	检测方法、设备和存储介质
CN100752	一种高分辨率可调增益的低噪声开关电容放大器及其设计方法
CN100753	液体组合物
CN100754	一种基于CMOS的可调谐差分输入共源共栅低噪声放大器
CN100755	环保自主修复微量润滑油及其制备方法
CN100756	氢氟烯烃混合物制冷剂用冷冻机油及冷冻机系统
CN100757	用于检测心房纤颤的系统
CN100758	低噪放大器及降低噪声的方法
CN100759	一种用于硅漂移探测器前端读出系统的电荷放大电路
CN100760	一种低功耗低噪声宽带放大器
CN100761	一种具有保护RAM数据功能的电路
CN100762	检测服务器电源输出掉电的方法、系统、设备和存储介质
CN100763	一种服务器CPU冗余电源的供电方法及供电系统
CN100764	一种电动汽车驱动电机用润滑脂组合物及其制备方法
CN100765	一种冷轧钢板用静电喷涂防锈油及其制备和性能测试方法
CN100766	一种餐厨废弃油脂基绝缘油降粘工艺
CN100767	一种PSU供电故障的检测方法、装置及服务器
CN100768	一种光电极化电压平方根放大电路、电器
CN100769	基于多模板匹配和相关系数矩阵的动态心电噪声滤除方法
CN100770	一种生物质基低粘度全合成润滑油的制备方法
CN100771	弹性纳米粒子复合有机膨润土及其制备方法和润滑脂
CN100772	一种润滑油抗磨剂的制备方法和润滑油
CN100773	基于静止时参考信号的自适应心电信号去噪方法及系统
CN100774	润滑剂组合物和胍鎓基离子液体用作润滑剂添加剂的用途
CN100775	方向独立感测、标测、接口和分析系统和方法
CN100776	一种加气砖环保脱模剂及其制备方法
CN100777	一种阻拦索专用钢丝绳油组合物
CN100778	一种数据处理方法和装置
CN100779	除水方法及其装置、终端、非临时性计算机可读存储介质
CN100780	一种具有低插入损耗的8字形四路功率合成器
CN100781	一种使用卷积神经网络DenseNet检测早期心力衰竭的方法和装置
CN100782	一种电池供电保护装置和服务器
CN100783	一种电源VR芯片的电流自动校准电路及校准方法
CN100784	一种耐化学介质氟硅润滑脂及其制备方法
CN100785	基于第二级栅极反馈结构的超宽带共源共栅低噪声放大器
CN100786	一种供电方法及装置、设备和存储介质
CN100787	一种连续增益可调的毫米波宽带驱动放大器
CN100788	双中央处理器电源故障监测系统及其方法
CN100789	一种煤基全合成SN级润滑油及其制备方法
CN100790	微波固态功率放大器
CN100791	一种极压润滑脂及其制备方法
CN100792	一种射频电路的阻抗匹配方法及射频电路
CN100793	一种应用于超宽带的射频接收机电路
CN100794	适老化多功能自主非侵入式动态生理信号监测分析系统
CN100795	一种人类行为分析方法及系统
CN100796	无创连续血压测量系统及其校准方法
CN100797	健康监测设备
CN100798	基于自监督学习和孪生网络的对抗性心电信号降噪方法
CN100799	服务器机箱开盖检测方法及装置
CN100800	一种高低温通用型光学仪表油
CN100801	一种基于人工神经网络的心律失常诊断模型的训练方法
CN100802	一种基于衬底偏置的超低耗电流复用低噪声放大器
CN100803	一种无线传输的分体式心电监护系统
CN100804	电子标示装置与相关的缆线和电源管理方法
CN100805	一种基于特征提取与深度学习的心电信号自动分类方法
CN100806	一种工业机器人用润滑脂及其制备方法
CN100807	一种睡眠周期性检测量化及辅助干预的方法、系统和装置
CN100808	一种基于对抗生成网络的心电信号降噪方法
CN100809	一种等效重启调频真随机数发生器及真随机数发生方法
CN100810	一种具有谐波抑制能力的微带功率放大器
CN100811	一种环保型合成酯空气压缩机油及其制备方法
CN100812	基于单体侧信号检测的可穿戴式心血管健康监测系统
CN100813	一种窑车用高温润滑脂及其制备方法
CN100814	一种阻抗匹配频率可调的宽带接收机电路
CN100815	一种集成前置滤波器的射频放大器及其封装方法
CN100816	一种备份电源及备份方法
CN100817	低噪声大带宽信号接收单元
CN100818	一种互补型无源预放大低噪声放大器
CN100819	特征的确定、心电预测方法及装置、电子设备和存储介质
CN100820	一种多波束毫米波相控阵芯片及制造方法
CN100821	水/二醇基液压流体
CN100822	一种心电图的异常标注方法及装置
CN100823	可重构放大器及其放大方法
CN100824	一种宽带LNA电路及装置
CN100825	一种服务器供电单元优化装置及方法
CN100826	车辆、视觉域控制器、视频数据处理方法、设备和介质
CN100827	一种可重构放大器芯片
CN100828	跨阻放大器
CN100829	能量卸载系统
CN100830	基于EMD及其能量的心电信号去噪算法、设备和存储介质
CN100831	基于特征模板匹配的QRS波群检测方法、装置、介质及设备
CN100832	一种用于脉冲法拉第杯信号测量的信号处理方法和系统
CN100833	一种基于改进带通滤波器的压缩域心电信号质量评估方法
CN100834	心电图检测方法、装置及系统
CN100835	用于润滑剂添加剂应用的聚二烷基硅氧烷聚(甲基)丙烯酸酯刷状聚合物
CN100836	一种信号放大电路及毫米波信号放大电路
CN100837	一种采用混合频率补偿网络的超宽带低噪声放大器
CN100838	一种环保型盾尾密封油脂及其制备方法
CN100839	D类功放中实现静态噪音消除功能的电路及相应驱动电路
CN100840	具有优化低频噪声功能的达林顿放大器
CN100841	一种低倾点季戊四醇油酸酯混合酯及其合成方法
CN100842	异常心电信号识别方法及异常心电信号识别装置
CN100843	一种复合钙基润滑脂及其制备方法
CN100844	润滑油添加剂应用中具有改善的粘度指数的聚(甲基)丙烯酸酯
CN100845	基于双谱分析和图傅里叶变换的心电信号特征提取方法
CN100846	一种低灰分高兼容性的节能型润滑油
CN100847	一种供电装置和服务器
CN100848	心电信号的建库方法和分析方法
CN100849	一种宽带低功耗控制多功能芯片
CN100850	一种基于二茂铁基团的可粘度调控型氟硅油及其生产方法
CN100851	支化聚乙烯及其制备方法和一种润滑油粘度指数改进剂
CN100852	一种ECG信号噪声污染程度与类别智能评估方法
CN100853	一种脲基聚合物凝胶因子及其制备方法和凝胶润滑剂及其制备方法和应用
CN100854	一种配电终端掉电时序电路
CN100855	一种提高热轧酸洗钢板表面耐锈蚀能力的生产方法
CN100856	一种服务器多档位电源冗余的方法
CN100857	一种提高参考时钟信号抗干扰的功分放大电路及方法
CN100858	物联网终端轻量级操作系统的能量管理方法和系统
CN100859	自稳零放大电路及提升放大电路增益稳定性的方法
CN100860	肌电采集参考电极的动态切换装置以及动态切换方法
CN100861	一种高润滑性低异味的冷轧轧制油
CN100862	一种心电信号分类设备和方法
CN100863	数据处理方法、装置、计算机系统和介质
CN100864	一种全合成风电主齿轮箱润滑油、生产装置及制备方法
CN100865	伺服放大器选择装置及其选择方法、计算机可读介质
CN100866	一种板卡保护方法、系统及装置
CN100867	一种单导联心电信号f波提取方法
CN100868	动态心电图分析方法、装置、计算机设备和存储介质
CN100869	一种备电模块及服务器电源
CN100870	宽带低噪声放大器
CN100871	一种合成高烧结负荷润滑脂及其制备方法和应用
CN100872	一种磁性润滑油及其制备方法
CN100873	多相功率变换器
CN100874	处理器及降低电源纹波的方法
CN100875	电源管理系统
CN100876	存储器存储装置的电源控制方法与存储器存储系统
CN100877	心电图机在线交互方法、心电图机、存储介质
CN100878	使用ECG恢复脉搏波形及其他血液动力学的设备及方法
CN100879	植入式微功耗多生理参量记录装置
CN100880	一种基于隔离运放和功放三极管的电子轰击离子源控制电路
CN100881	低噪声放大电路及射频前端模组
CN100882	一种基于人工智能的进行杂波剔除的方法及系统
CN100883	一种提高电源可用性的方法、系统、设备和存储介质
CN100884	一种用于发动机的低粘度润滑油
CN100885	一种BBU故障诊断方法、装置、电子设备及存储介质
CN100886	一种基于奇异值分解的心电信号压缩及识别方法
CN100887	一种生成心搏间期差值数据序列的方法和装置
CN100888	仪表放大电路及电流监测仪
CN100889	一种服务器及其掉电保护电路
CN100890	润滑剂组合物、滑动设备、定影设备和图像形成设备
CN100891	异常状态的检测方法、装置、电子设备及计算机存储介质
CN100892	一种终端设备的系统升级方法及装置
CN100893	一种双电源切换电路及双电源切换控制器
CN100894	一种低噪声MEMS压电水听器的回波放大电路
CN100895	一种水溶性氟碳石墨烯机油及其制备方法
CN100896	一种基于因果关系的无袖带连续血压监测系统
CN100897	训练数据处理、心电波形检测方法及电子设备
CN100898	一种用于压电传感器的低噪声电荷放大器及其实现方法
CN100899	一种心电图信号特征智能提取方法
CN100900	一种带有ZVS软开关的数字式电液比例放大器
CN100901	一种润滑脂及其制备方法和用途
CN100902	一种计算机内置断电保护系统
CN100903	一种心电图数据的测量方法、装置、电子设备和存储设备
CN100904	一种探测电路、其制作方法及探测面板
CN100905	一种低浊点润滑油基础油的生产方法
CN100906	电源分配板、模块化机箱系统及其运作方法
CN100907	一种低温高速润滑脂及其制备方法
CN100908	粘度指数改进剂和润滑油组合物
CN100909	一种存储阵列的断电保护方法及相关装置
CN100910	一种调控界面摩擦的纳米润滑添加剂、制造方法和用途
CN100911	一种多用途拖拉机专用润滑油及制备方法
CN100912	一种基于频域自相关的心电信号干扰去噪方法及系统
CN100913	一种可调节通道放大器寄生直流偏置的电路及调节方法
CN100914	一种功能化聚合物包覆离子液体润滑油添加剂及其制备方法和应用
CN100915	高硬度轧辊制备锂电池用铝箔的生产工艺
CN100916	一种处理器、处理器系统及片上系统
CN100917	一种低功耗恒定跨导轨对轨运算放大器
CN100918	一种防火门减速机润滑脂组合物及其制备方法
CN100919	D类功率放大器及其补偿方法和数字信号处理装置
CN100920	一种电源保障的方法以及相关装置
CN100921	一种PG信号电路
CN100922	一种压力食品加工机的掉电保护方法
CN100923	射频放大器中的静电能和热能收集及自供电
CN100924	心电图数据生成方法、装置及电子设备
CN100925	一种基于负反馈匹配网络的分布式低噪声放大器
CN100926	一种基于存储系统的热备电切换系统
CN100927	基于冗余电源提高服务器效能的方法、系统、设备及介质
CN100928	前置放大器、MEMS传感器读出电路以及MEMS传感器系统
CN100929	一种铝箔轧制润滑油、制备方法和应用
CN100930	一种基于移动设备摄像头的心率变异性测量方法
CN100931	基于深度学习模型的心音信号检测方法及系统
CN100932	一种基于迁移学习的心冲击信号房颤计算机辅助诊断方法
CN100933	生理参数检测方法及电子设备
CN100934	一种补偿电压的电路
CN100935	差分低噪声放大器
CN100936	一种数据中心及其控制方法
CN100937	一种复合型高温固体润滑剂的制备方法
CN100938	基于多路可视图的健康与心脏疾病患者ECG信号识别方法
CN100939	一种应用于服务器上的掉电保护系统，方法及服务器
CN100940	一种机密计算协处理器系统及其掉电保护方法
CN100941	基于心脑电信号的心肺复苏后神经功能结局评估系统
CN100942	分析心电图信号的方法
CN100943	负载型茂金属催化剂及其制备方法和应用
CN100944	一种含氟硅油及其制备方法和应用
CN100945	基线漂移和高频噪声的去除方法、装置和设备
CN100946	一种无脉搏电活动PEA检测方法
CN100947	混沌检测T波电交替的心源性猝死预警方法
CN100948	使用停止命令进行电源故障处理
CN100949	一种粘附性能优异的高温链条油及其制备方法
CN100950	一种服务器电源供电保护方法及装置
CN100951	一种ECG信号标记方法、系统、装置及计算机可读存储介质
CN100952	一种嵌段型聚(甲基)丙烯酸酯类聚合物作为润滑油中纳米铜添加剂的分散剂的应用
CN100953	基于CPLD保障服务器电源系统稳定性的装置及方法
CN100954	一种基于心电单极导联V2、V5推衍导联V3、V4的方法及设备
CN100955	一种用于提高跨阻放大器电源抑制比的增强电路
CN100956	一种信息终端
CN100957	一种基于深度神经网络的心电信号分析方法
CN100958	一种存储设备及其供电系统
CN100959	一种热插拔风扇自恢复的方法
CN100960	一种支持掉电数据保护的电压泵电路和方法
CN100961	一种改善低温流动性的润滑油组合物及其制备方法和应用
CN100962	一种基于机器学习的非侵入性心脏病诊断方法和装置
CN100963	一种服务器系统及其内处理器的频率控制装置
CN100964	心电波形数据的处理方法、装置和服务器
CN100965	电子设备、方法和计算机可读介质
CN100966	一种脑力负荷评估方法、装置、设备、介质
CN100967	基于12导联静息心电图的多级联人工智能排阴方法
CN100968	用于智慧校园管理系统的数据备份存储装置及其安装方法
CN100969	一种矿物油型冷冻机油组合物及其制备方法和应用
CN100970	一种带连续衰减功能的低功耗放大器
CN100971	一种具有宽动态范围和高电源抑制比的跨阻放大器
CN100972	一种发动机修复剂及其制备方法
CN100973	一种5G系统的宽带高线性度驱动放大器
CN100974	多路心音的心音传感器位置识别纠正方法
CN100975	一种修正阵发性心律失常事件的方法及装置
CN100976	兼具润滑与减磨功能的固体润滑材料及其用途
CN100977	一种图像处理方法、装置、设备和存储介质
CN100978	一种喷涂型钢丝绳表面脂组合物及制备方法
CN100979	一种低功耗超宽带低噪声放大器
CN100980	一种天然酯变压器油及其制备方法
CN100981	润滑油基础油及其制备方法
CN100982	环保长寿命汽油机油及其生产工艺
CN100983	一种低聚蓖麻油酸酯的制备方法
CN100984	一种自动保护硬盘数据的电脑机箱
CN100985	一种低硫低剪切粘度损失的车辆齿轮润滑油
CN100986	一种心电信号处理方法、装置及设备
CN100987	一种电压调节模块VRM的控制装置及控制方法
CN100988	一种任意导联视角的心电数据的生成方法
CN100989	一种双phase电源电路及断路检测方法
CN100990	一种设备掉电管理方法和装置
CN100991	粘度指数改进剂及其制备方法
CN100992	一种防电流冲击装置、方法及服务器主板
CN100993	半导体运算放大装置和半导体感测装置
CN100994	一种服务器的供电系统
CN100995	一种互联网多级智能远程监控系统数据备份电路
CN100996	基于卷积和循环神经网络运动员心理压力评估方法及系统
CN100997	一种耐高温抗磨性能的环保润滑油及其制备方法
CN100998	一种低成本的超频高速跨阻放大器
CN100999	一种电容耦合斩波调制仪表放大器
CN101000	基于卷积神经网络的心电信号心律失常分类系统
CN101001	一种三通道放大衰减滤波多功能芯片
CN101002	用于心律失常分类的深度模型、利用该模型的方法及装置
CN101003	一种电源供应器管理方法及电源供应器
CN101004	一种防止子节点服务器输入端烧板的供电管理系统及方法
CN101005	一种功能化极性聚烯烃聚合物及其制备方法和应用
CN101006	基于光纤陀螺的噪声压缩调制方法及系统
CN101007	一种用于电火花镜面加工的长寿机油
CN101008	一种具有安全电压防护的车载平板电脑
CN101009	一种低温复合磺酸钙润滑脂组合物及其制备方法
CN101010	一种黏度指数改进剂组合物及其应用
CN101011	一种提高汽车发动机性能的组合物及使用方法
CN101012	可用于海底应用的具有可生物降解的聚亚烷基二醇流变改性剂的液压流体
CN101013	一种机动车制动液及其制备方法
CN101014	带有零点补偿的跨导放大器
CN101015	一种防止热插拔电压突波的保护电路及保护方法
CN101016	基于全局噪声抵消的低噪声放大器及其方法
CN101017	一种聚醚基础油及其用途
CN101018	使用导管臂的分段线性模型来识别与组织的接触
CN101019	一种用于5G NR-U频段的射频前端电路、电路板
CN101020	反馈型音频功率放大电路、音频放大装置及电子装置
CN101021	一种自适应工频滤波方法及装置
CN101022	基于卷积自编码器的双阶段心电信号降噪方法
CN101023	功率放大器及平衡数字输出信号的上升和下降时间的方法
CN101024	制备聚α-烯烃的装置和方法
CN101025	一种低倾点油田和风力发电专用合成型齿轮油及制备方法
CN101026	配合掉电延迟实现低压保护解锁的方法
CN101027	一种基于氧化铈纳米添加剂的低粘度节能柴机油及其制备方法
CN101028	具有掉电保护功能的服务器系统及其方法
CN101029	一种全合成分阶段船用内燃机润滑油及其制备方法
CN101030	反馈型脉冲线性放大的电子冷却调制方法及装置
CN101031	心率特征的测量方法、症状检测方法及相关设备
CN101032	心电信号处理方法、心电信号处理装置和电子设备
CN101033	主板热插拔保护电路
CN101034	一种超宽带前端芯片、控制方法及设计方法
CN101035	心电信号的模板匹配方法、装置、设备和介质
CN101036	一种基于双选机制的多种波形类型筛选方法及装置
CN101037	具有集成滤波器的音频放大器
CN101038	一种改性甲基丙烯酸酯聚合物及其润滑组成物
CN101039	心电信号的处理方法、装置及设备
CN101040	一种应用于Sub-GHz频段的新型低噪声放大器
CN101041	一种基于多模态数据融合的肌肉疲劳度分类方法及系统
CN101042	一种心电信号特征波的自动识别方法
CN101043	一种电子熔断器电路、芯片、主板以及电子设备
CN101044	一种三通道收发放大芯片
CN101045	一种收发放大衰减多功能芯片
CN101046	一种服务器硬盘错峰上电的方法、设备及介质
CN101047	MEMS麦克风前置放大器
CN101048	一种基于物联网的信息调节电路
CN101049	一种ECG信号的去噪方法及终端
CN101050	一种常规导联输出心电向量图的方法
CN101051	一种应用于电容式加速度计的可编程增益放大器
CN101052	一种复合结构有源反馈宽带低噪声放大器
CN101053	一种静态功耗自动配置的低功耗前端读出电路及设计方法
CN101054	一种运算放大器输入电流的抵消电路
CN101055	高可用集群掉电自动恢复方法、装置、设备及存储介质
CN101056	识别心电波图像交界性逸搏方法、装置、系统和电子设备
CN101057	一种服务器电源防呆结构
CN101058	基于云计算的5G移动网络监控系统
CN101059	基于S型重构的2D卷积神经网络的心拍分类方法及系统
CN101060	真实场景下心电图信号提取和识别的方法
CN101061	一种室性早搏识别方法、识别系统及电子设备
CN101062	心电数据分类方法、装置、计算机设备和存储介质
CN101063	一种针对晶圆级处理器的供电装置
